证券简称,id,year,YBR,x2,x4,OCFDR,ROE,CLTLR,CATAR,DER,DR,YoO,RDR,TAT,IFR,GIC
八亿时空,688181,2020,0.019621631,9.342,8.3413,0.5538,10.5624,81.8168,79.1224,0.115470977,10.3518,16,0.067698604,0.3576,0.111762259,1.092325002
八亿时空,688181,2019,0.01152402,3.0858,1.9962,0.7291,23.9074,75.8335,48.4816,0.261316252,20.7177,15,0.078435236,0.6228,0.109493788,1.707586908
八亿时空,688181,2018,7.39393E-05,2.0837,1.4636,0.1513,17.8892,77.6093,45.9887,0.397403969,28.4387,14,0.098107842,0.4765,0.128096016,1.741425003
生益电子,688183,2021,0.183942429,0.6793,0.4648,0.3188,23.9765,98.3935,38.449,1.354236393,57.5234,36,0.050448172,0.8731,0.108729356,1.173518553
生益电子,688183,2020,0.283065276,0.9971,0.714,0.1294,28.2509,91.2175,49.1993,1.178408055,54.0949,35,0.06934128,1.0223,0.115446299,1.507771407
生益电子,688183,2019,0.249539417,1.3676,0.9617,0.3528,15.9348,80.582,43.2372,0.645624714,39.2328,34,0.064794082,0.9224,0.066936681,1.200007443
生益电子,688183,2018,0.223632525,1.1474,0.8425,0.2417,12.4019,99.8105,46.5281,0.684311697,40.6286,33,0.063045411,0.7972,0.063207968,1.15718409
腾景科技,688195,2021,0.018910127,2.396,2.0738,0.1872,18.6835,56.0268,46.6181,0.532047771,34.7279,8,0.111565274,0.5093,0.076555418,1.503972393
腾景科技,688195,2020,0.163621684,3.7762,3.3097,0.3621,16.6384,83.7034,58.2633,0.225983611,18.4328,7,0.092377284,0.5385,0.021184922,1.417149197
腾景科技,688195,2019,0.037939703,3.5896,3.0854,0.8255,17.8508,99.9612,57.02,0.188935302,15.8911,6,0.087488151,0.5694,0.003650771,1.52181871
华峰测控,688200,2021,0,15.8665,15.3351,1.0249,15.5451,97.122,91.8537,0.063385315,5.9607,28,0.232256407,0.2877,0.119674824,1.561145916
华峰测控,688200,2020,0,6.4143,5.6068,0.9097,30.7345,99.7871,85.0328,0.153203509,13.285,27,0.149350638,0.6531,0.085450449,1.164324433
华峰测控,688200,2019,0,4.7957,3.8989,2.0184,43.9493,99.8616,84.4141,0.213982729,17.6265,26,0.164180547,0.8829,0.23912596,1.471846717
华峰测控,688200,2018,0,5.8843,4.8156,0.332,33.3469,100,90.064,0.18071868,15.3058,25,0.159807424,0.7978,0.250558328,1.327285938
信安世纪,688201,2021,0.01235209,2.8129,2.3608,0.6262,27.8523,93.2241,71.977,0.382803993,27.4483,20,0.256716584,0.725,0.146408854,1.309790194
信安世纪,688201,2020,0,2.1126,1.7712,0.3743,28.2567,89.4904,71.141,0.604688378,37.6291,19,0.166958467,0.6632,0.195742727,1.180059653
信安世纪,688201,2019,0.013067753,3.5575,3.0284,0.4611,32.9304,87.3723,83.9348,0.369932009,27.0037,18,0.133374005,0.7974,0.125113169,1.221828457
信安世纪,688201,2018,0,2.8546,2.1873,0.0198,26.0158,86.107,83.1673,0.51136745,33.8348,17,,0.7994,0.062952057,
气派科技,688216,2021,0.023303581,0.907,0.7258,0.1159,15.82,86.1425,37.2196,0.90982116,47.6391,15,0.084503654,0.5798,0.128611607,1.32218574
气派科技,688216,2020,0.081555636,0.8973,0.7276,0.0504,7.3576,89.1143,35.6178,0.803161069,44.5418,14,0.072623623,0.5215,0.155365065,1.093699652
气派科技,688216,2019,0.067689754,0.8905,0.6752,0.2214,3.8723,83.3774,29.5295,0.660359816,39.7721,13,0.054790648,0.5093,0.165087131,0.949174401
气派科技,688216,2018,0.022253398,0.7695,0.6583,0.1526,14.4541,81.4768,33.8348,1.172437402,53.9688,12,0.061065294,0.5803,0.168609392,1.315129305
开普云,688228,2021,0.020839282,7.9071,7.5972,0.363,9.7609,99.3932,81.1437,0.115134561,10.3247,21,0.182811596,0.3558,0.104903187,1.010616588
开普云,688228,2020,0,2.2883,1.9892,0.3322,38.6782,100,88.358,0.62898587,38.6121,20,0.146553273,0.9225,0.095356937,1.307117689
开普云,688228,2019,0,2.3502,2.0501,0.5867,41.9913,100,83.572,0.551814128,35.5593,19,0.150607683,0.9101,0.182657945,1.455402257
开普云,688228,2018,0,2.144,1.8603,0.407,44.2017,100,97.9977,0.841858862,45.707,18,0.200826647,0.9083,0.128149938,1.48131591
博睿数据,688229,2021,0,24.2255,24.2255,0.8027,5.9608,100,93.6827,0.04022669,3.8671,13,0.240210401,0.2499,0.159310368,0.843830346
博睿数据,688229,2020,0,7.0707,7.0707,1.5834,33.287,100,96.8021,0.158623152,13.6907,12,0.202775118,0.764,0.167541268,1.074007398
